ID,Pharmacy-Name,Phone,Credential,CredentialId,Location,Address,City,State,Concat,Zip,Found,Coordinates,Lats,Long,County,Color,Size,Label,cluster
41,WALGREENS #10058,(203) 845-8767,PCY.0002114,"501,179","235 MAIN ST
CT 06851-2720
(41.130894, -73.423445)",235 MAIN ST,NORWALK,CT,"235 MAIN ST, NORWALK, CT",06851-2720,Match,"-73.423004,41.129997",-73.423004,41.129997,Fairfield,Red,Tiny,A,1
42,WALGREENS #01873,(203) 655-8904,PCY.0000973,"246,051","138 HEIGHTS RD
CT 06820-4119
(41.069088, -73.493943)",138 HEIGHTS RD,DARIEN,CT,"138 HEIGHTS RD, DARIEN, CT",06820-4119,Match,"-73.49615,41.069157",-73.49615,41.069157,Fairfield,Red,Tiny,A,1
43,CVS/PHARMACY #17034,(203) 859-3491,PCY.0001896,"381,719","200 UNIVERSAL DR N
CT 06473-3156
(41.354797, -72.87176)",200 UNIVERSAL DR N,NORTH HAVEN,CT,"200 UNIVERSAL DR N, NORTH HAVEN, CT",06473-3156,Match,"-72.87157,41.366985",-72.87157,41.366985,New Haven County,Green,Tiny,E,5
44,STOP & SHOP #623,(860) 346-0160,PCY.0001429,"245,843","416 E MAIN ST
CT 06457-4555
(41.545851, -72.638978)",416 E MAIN ST,MIDDLETOWN,CT,"416 E MAIN ST, MIDDLETOWN, CT",06457-4555,Match,"-72.64963,41.560295",-72.64963,41.560295,Middlesex County,Purple,Small,D,4
45,CVS PHARMACY #1242,(860) 651-1440,PCY.0001422,"246,860","714 HOPMEADOW ST
CT 06070-2234
(41.872036, -72.802877)",714 HOPMEADOW ST,SIMSBURY,CT,"714 HOPMEADOW ST, SIMSBURY, CT",06070-2234,Match,"-72.8021,41.87391",-72.8021,41.87391,Hartford County,Orange,Tiny,B,2
46,SALEM PHARMACY LLC,(860) 949-8624,PCY.0002252,"1,121,463","24 HARTFORD RD
CT 06420-3841
(41.478007, -72.266551)",24 HARTFORD RD UNIT 11,SALEM,CT,"24 HARTFORD RD UNIT 11, SALEM, CT",06420-3841,Match,"-72.2651,41.47705",-72.2651,41.47705,New London County,Black,Mid,F,6
47,RITE AID  #1790,(203) 573-0378,PCY.0001300,"247,749","141 MERIDEN RD
CT 06705-1937
(41.549564, -73.013867)",141 MERIDEN RD,WATERBURY,CT,"141 MERIDEN RD, WATERBURY, CT",06705-1937,Match,"-73.01376,41.549572",-73.01376,41.549572,New Haven County,Green,Tiny,E,5
48,RITE AID  #10385,(203) 748-4134,PCY.0001162,"38,211","1 PADANARAM RD
STE B, CT 06811-4836
(41.413006, -73.457791)",1 PADANARAM RD STE B,DANBURY,CT,"1 PADANARAM RD STE B, DANBURY, CT",06811-4836,Match,"-73.458824,41.413925",-73.458824,41.413925,Fairfield,Red,Tiny,A,1
49,CVS/PHARMACY #17072,(203) 455-0103,PCY.0001956,"394,034","120 HAWLEY LN
CT 06611-5347
(41.232987, -73.149952)",120 HAWLEY LN,TRUMBULL,CT,"120 HAWLEY LN, TRUMBULL, CT",06611-5347,Match,"-73.14976,41.23345",-73.14976,41.23345,Fairfield,Red,Tiny,A,1
50,CVS PHARMACY #2258,(203) 323-1293,PCY.0002313,"1,280,407","537 CANAL ST
CT 06902-5901
(41.047213, -73.534077)",537 CANAL ST,STAMFORD,CT,"537 CANAL ST, STAMFORD, CT",06902-5901,Match,"-73.53392,41.04706",-73.53392,41.04706,Fairfield,Red,Tiny,A,1
51,WALGREENS  #05407,(860) 649-8899,PCY.0001247,"38,245","295 MAIN ST
CT 06040-4128
(41.782905, -72.523)",295 MAIN ST,MANCHESTER,CT,"295 MAIN ST, MANCHESTER, CT",06040-4128,Match,"-72.52304,41.78297",-72.52304,41.78297,Hartford County,Orange,Tiny,B,2
52,CVS PHARMACY #3795,(203) 762-5020,PCY.0001787,"284,296","93 OLD RIDGEFIELD RD
CT 06897-3023
(41.19402, -73.431933)",93 OLD RIDGEFIELD RD,WILTON,CT,"93 OLD RIDGEFIELD RD, WILTON, CT",06897-3023,Match,"-73.439125,41.195686",-73.439125,41.195686,Fairfield,Red,Tiny,A,1
53,CONNECTICUT PHARMACY,(203) 518-1146,PCY.0002254,"1,132,647","664 MAIN AVE
CT 06851-1162
(41.160168, -73.41903)",664 MAIN AVE UNIT B102,NORWALK,CT,"664 MAIN AVE UNIT B102, NORWALK, CT",06851-1162,Match,"-73.424675,41.152397",-73.424675,41.152397,Fairfield,Red,Tiny,A,1
54,CVS PHARMACY #172,(203) 488-9485,PCY.0001414,"38,880","2 6 SHORT BEACH RD
CT 06405-6233
(41.274835, -72.830135)",2-6 SHORT BEACH RD,BRANFORD,CT,"2-6 SHORT BEACH RD, BRANFORD, CT",06405-6233,Match,"-72.83016,41.274967",-72.83016,41.274967,New Haven County,Green,Tiny,E,5
55,RITE AID #198,(860) 528-6115,PCY.0001163,"249,882","329 ELLINGTON RD
CT 06108-1141
(41.79667, -72.620379)",329 ELLINGTON RD,EAST HARTFORD,CT,"329 ELLINGTON RD, EAST HARTFORD, CT",06108-1141,Match,"-72.620674,41.796642",-72.620674,41.796642,Hartford County,Orange,Tiny,B,2
56,WESTOWN PHARMACY,(860) 649-9946,PCY.0000819,"37,567","455 HARTFORD RD
CT 06040
(41.764502, -72.541476)",455 HARTFORD RD,MANCHESTER,CT,"455 HARTFORD RD, MANCHESTER, CT",6040,Match,"-72.541374,41.764484",-72.541374,41.764484,Hartford County,Orange,Tiny,B,2
57,STOP & SHOP PHARMACY #662,203-849-8735,PCY.0001574,"167,371","380 MAIN AVE
CT 06851-1553
(41.141317, -73.425784)",380 MAIN AVE,NORWALK,CT,"380 MAIN AVE, NORWALK, CT",06851-1553,Match,"-73.42617,41.13888",-73.42617,41.13888,Fairfield,Red,Tiny,A,1
59,CVS PHARMACY #1202,(860) 653-4221,PCY.0001484,"342,548","20 BANK ST
CT 06035-2302
(41.952045, -72.785463)",20 BANK ST,GRANBY,CT,"20 BANK ST, GRANBY, CT",06035-2302,Match,"-72.7852,41.95299",-72.7852,41.95299,Hartford County,Orange,Tiny,B,2
61,WAL-MART PHARMACY #10-2331,(860) 447-3747,PCY.0001581,"168,757","155 WATERFORD PARKWAY NORTH
CT 06385
(41.368601, -72.156172)",155 WATERFORD PARKWAY NORTH,WATERFORD,CT,"155 WATERFORD PARKWAY NORTH, WATERFORD, CT",6385,Match,"-72.16108,41.368256",-72.16108,41.368256,New London County,Black,Mid,F,6
62,WALGREENS #04490,(860) 721-7224,PCY.0000951,"37,780","1100 SILAS DEANE HWY
CT 06109-4232
(41.691923, -72.656144)",1100 SILAS DEANE HWY,WETHERSFIELD,CT,"1100 SILAS DEANE HWY, WETHERSFIELD, CT",06109-4232,Match,"-72.65587,41.690376",-72.65587,41.690376,Hartford County,Orange,Tiny,B,2
63,WALGREENS #12338,(860) 704-0135,PCY.0002173,"924,322","311 E MAIN ST
CT 06457-4556
(41.548392, -72.639327)",311 E MAIN ST,MIDDLETOWN,CT,"311 E MAIN ST, MIDDLETOWN, CT",06457-4556,Match,"-72.64848,41.558548",-72.64848,41.558548,Middlesex County,Purple,Small,D,4
64,WALGREENS #07641,(860) 621-3729,PCY.0001901,"382,800","359 MAIN ST
CT 06489-4538
(41.593975, -72.88042)",359 MAIN ST,SOUTHINGTON,CT,"359 MAIN ST, SOUTHINGTON, CT",06489-4538,Match,"-72.88234,41.593433",-72.88234,41.593433,Hartford County,Orange,Tiny,B,2
65,CVS PHARMACY #1051,(203) 967-4600,PCY.0001343,"38,654","593 NEWFIELD AVE
CT 06905-3302
(41.080471, -73.5339)",593 NEWFIELD AVE,STAMFORD,CT,"593 NEWFIELD AVE, STAMFORD, CT",06905-3302,Match,"-73.53388,41.078533",-73.53388,41.078533,Fairfield,Red,Tiny,A,1
66,RITE AID  #10367,(203) 874-0845,PCY.0001159,"225,199","1387 NEW HAVEN AVE
CT 06460-8159
(41.228629, -72.996672)",1387 NEW HAVEN AVE,MILFORD,CT,"1387 NEW HAVEN AVE, MILFORD, CT",06460-8159,Match,"-72.99574,41.228817",-72.99574,41.228817,New Haven County,Green,Tiny,E,5
67,CVS PHARMACY #1268,(860) 443-1244,PCY.0001489,"39,107","106 BOSTON POST RD
CT 06385-2426
(41.341993, -72.123903)",106 BOSTON POST RD,WATERFORD,CT,"106 BOSTON POST RD, WATERFORD, CT",06385-2426,Match,"-72.124084,41.34204",-72.124084,41.34204,New London County,Black,Mid,F,6
68,WALGREENS #06503,(203) 876-7643,PCY.0001810,"316,867","541 BRIDGEPORT AVE
CT 06460-4203
(41.206888, -73.088806)",541 BRIDGEPORT AVE,MILFORD,CT,"541 BRIDGEPORT AVE, MILFORD, CT",06460-4203,Match,"-73.08802,41.207195",-73.08802,41.207195,New Haven County,Green,Tiny,E,5
69,CVS PHARMACY #1080,(860) 443-5359,PCY.0001359,"38,662","817 BANK ST
CT 06320-3503
(41.348725, -72.10706)",817 BANK ST,NEW LONDON,CT,"817 BANK ST, NEW LONDON, CT",06320-3503,Match,"-72.10715,41.348713",-72.10715,41.348713,New London County,Black,Mid,F,6
70,COMPOUNDED SOLUTIONS IN PHARMACY LLC,(203) 268-4964,PCY.0001717,"217,178","810 MAIN ST
CT 06468-2809
(41.346973, -73.259732)",810 MAIN ST,MONROE,CT,"810 MAIN ST, MONROE, CT",06468-2809,Match,"-73.25968,41.345787",-73.25968,41.345787,Fairfield,Red,Tiny,A,1
71,CVS PHARMACY #1028,8606217371,PCY.0001495,"39,109","724 QUEEN STREET
CT 06489
(41.635977, -72.873698)",724 QUEEN STREET,SOUTHINGTON,CT,"724 QUEEN STREET, SOUTHINGTON, CT",6489,Match,"-72.873726,41.63652",-72.873726,41.63652,Hartford County,Orange,Tiny,B,2
72,W H PICKETT DRUG CO,(203) 753-5158,PCY.0000421,"244,522","675 N MAIN ST
CT 06704-3508
(41.562919, -73.032633)",675 N MAIN ST,WATERBURY,CT,"675 N MAIN ST, WATERBURY, CT",06704-3508,Match,"-73.03275,41.56271",-73.03275,41.56271,New Haven County,Green,Tiny,E,5
73,CONNECTICUT PHARMACY MEDICAL SUPPLY,(203) 939-1790,PCY.0000434,"37,319","664 MAIN AVE
CT 06851-1162
(41.160168, -73.41903)",664 MAIN AVE UNIT B101,NORWALK,CT,"664 MAIN AVE UNIT B101, NORWALK, CT",06851-1162,Match,"-73.424675,41.152397",-73.424675,41.152397,Fairfield,Red,Tiny,A,1
75,WAL-MART PHARMACY  #10-2900,(860) 563-4322,PCY.0001749,"245,434","80 TOWN LINE RD
CT 06067-1249
(41.650093, -72.878086)",80 TOWN LINE RD,ROCKY HILL,CT,"80 TOWN LINE RD, ROCKY HILL, CT",06067-1249,Match,"-72.658066,41.682217",-72.658066,41.682217,Hartford County,Orange,Tiny,B,2
76,PEOPLES MEDICAL & PHARMACY,(203) 287-7375,PCY.0001636,"179,324","445 WASHINGTON AVE
CT 06473-1320
(41.411353, -72.842146)",445 WASHINGTON AVE,NORTH HAVEN,CT,"445 WASHINGTON AVE, NORTH HAVEN, CT",06473-1320,Match,"-72.841,41.41535",-72.841,41.41535,New Haven County,Green,Tiny,E,5
77,STOP & SHOP PHARMACY #607,(860) 651-9843,PCY.0001486,"39,105","498 BUSHY HILL RD
CT 06070-2931
(41.820736, -72.864549)",498 BUSHY HILL RD,SIMSBURY,CT,"498 BUSHY HILL RD, SIMSBURY, CT",06070-2931,Match,"-72.85937,41.822582",-72.85937,41.822582,Hartford County,Orange,Tiny,B,2
78,RITE AID  #1404,(203) 797-0223,PCY.0001224,"38,236","30 GERMANTOWN RD
CT 06810-5033
(41.41131, -73.435761)",30 GERMANTOWN RD,DANBURY,CT,"30 GERMANTOWN RD, DANBURY, CT",06810-5033,Match,"-73.43568,41.410046",-73.43568,41.410046,Fairfield,Red,Tiny,A,1
80,MAIN STREET PHARMACY 3 LLC,(203) 870-9902,PCY.0002190,"950,661","2117 BOSTON AVE
CT 06610-3030
(41.192539, -73.155251)",2117 BOSTON AVE,BRIDGEPORT,CT,"2117 BOSTON AVE, BRIDGEPORT, CT",06610-3030,Match,"-73.15514,41.19256",-73.15514,41.19256,Fairfield,Red,Tiny,A,1
82,RITE AID  #10340,(860) 242-5551,PCY.0000066,"36,890","835 PARK AVE
CT 06002-2469
(41.829949, -72.735067)",835 PARK AVE,BLOOMFIELD,CT,"835 PARK AVE, BLOOMFIELD, CT",06002-2469,Match,"-72.735306,41.830044",-72.735306,41.830044,Hartford County,Orange,Tiny,B,2
83,RITE AID  #2574,(203) 877-6774,PCY.0001154,"225,198","1360 BOSTON POST RD
CT 06460-2704
(41.24011, -73.034328)",1360 BOSTON POST RD,MILFORD,CT,"1360 BOSTON POST RD, MILFORD, CT",06460-2704,Match,"-73.034775,41.239666",-73.034775,41.239666,New Haven County,Green,Tiny,E,5
84,STOP & SHOP PHARMACY #613,(860) 871-1053,PCY.0001645,"187,385","10 PITKIN RD
CT 06066-4709
(41.830649, -72.492605)",10 PITKIN RD,VERNON,CT,"10 PITKIN RD, VERNON, CT",06066-4709,Match,"-72.49402,41.83041",-72.49402,41.83041,Tolland County,Red,Mid,G,7
85,CVS PHARMACY #10462,,PCY.0002297,"1,227,898","720 BRANCHVILLE RD
CT 06877-6129
(41.267828, -73.442861)",720 BRANCHVILLE RD,RIDGEFIELD,CT,"720 BRANCHVILLE RD, RIDGEFIELD, CT",06877-6129,Match,"-73.4436,41.267952",-73.4436,41.267952,Fairfield,Red,Tiny,A,1
86,CVS PHARMACY #2584,(203) 931-4541,PCY.0001766,"248,978","252 ORANGE AVE
CT 06516-2003
(41.294972, -72.958739)",252 ORANGE AVE,WEST HAVEN,CT,"252 ORANGE AVE, WEST HAVEN, CT",06516-2003,Match,"-72.956856,41.296085",-72.956856,41.296085,New Haven County,Green,Tiny,E,5
87,NORTH HAVEN PHARMACY,(203) 239-2086,PCY.0000702,"37,547","278 MAPLE AVE
CT 06473-3326
(41.370443, -72.852234)",278 MAPLE AVE,NORTH HAVEN,CT,"278 MAPLE AVE, NORTH HAVEN, CT",06473-3326,Match,"-72.85211,41.37155",-72.85211,41.37155,New Haven County,Green,Tiny,E,5
88,CVS PHARMACY #854,(203) 847-6057,PCY.0001283,"38,444","327 MAIN AVE
CT 06851-6156
(41.13677, -73.424916)",327 MAIN AVE,NORWALK,CT,"327 MAIN AVE, NORWALK, CT",06851-6156,Match,"-73.42608,41.139904",-73.42608,41.139904,Fairfield,Red,Tiny,A,1
89,CVS PHARMACY #1280,(203) 862-9320,PCY.0001432,"38,890","99 GREENWICH AVE
CT 06830-5511
(41.029308, -73.626423)",99 GREENWICH AVE,GREENWICH,CT,"99 GREENWICH AVE, GREENWICH, CT",06830-5511,Match,"-73.62642,41.029327",-73.62642,41.029327,Fairfield,Red,Tiny,A,1
91,CVS/PHARMACY #16872,(203) 448-1030,PCY.0001897,"381,727","21 BROAD ST
CT 06901-2309
(41.055491, -73.541493)",21 BROAD ST,STAMFORD,CT,"21 BROAD ST, STAMFORD, CT",06901-2309,Match,"-73.54131,41.055492",-73.54131,41.055492,Fairfield,Red,Tiny,A,1
92,WHALLEY DRUG,(203) 843-5022,PCY.0002327,"1,323,070","399 WHALLEY AVE
CT 06511-3008
(41.318105, -72.946527)",399 WHALLEY AVE,NEW HAVEN,CT,"399 WHALLEY AVE, NEW HAVEN, CT",06511-3008,Match,"-72.946266,41.318085",-72.946266,41.318085,New Haven County,Green,Tiny,E,5
93,STOP & SHOP PHARMACY #621,(203) 262-4559,PCY.0002018,"416,692","100 MAIN ST N
CT 06488-3839
(41.479314, -73.213302)",100 MAIN ST N,SOUTHBURY,CT,"100 MAIN ST N, SOUTHBURY, CT",06488-3839,Match,"-73.21284,41.478207",-73.21284,41.478207,New Haven County,Green,Tiny,E,5
95,CVS PHARMACY #10100,(860) 273-3171,PCY.0002225,"1,041,043","151 FARMINGTON AVE
CT 06156-0001
(41.768046, -72.688425)",151 FARMINGTON AVE,HARTFORD,CT,"151 FARMINGTON AVE, HARTFORD, CT",06156-0001,Match,"-72.69145,41.767925",-72.69145,41.767925,Hartford County,Orange,Tiny,B,2
96,CVS PHARMACY #953,(860) 675-9210,PCY.0001323,"38,466","45 S MAIN ST
CT 06085-1278
(41.75666, -72.886786)",45 S MAIN ST,UNIONVILLE,CT,"45 S MAIN ST, UNIONVILLE, CT",06085-1278,Match,"-72.88791,41.7588",-72.88791,41.7588,Hartford County,Orange,Tiny,B,2
97,ARROW PRESCRIPTION CENTER #12,(860) 522-9289,PCY.0000347,"37,126","500 FARMINGTON AVE
CT 06105-3106
(41.766539, -72.708405)",500 FARMINGTON AVE,HARTFORD,CT,"500 FARMINGTON AVE, HARTFORD, CT",06105-3106,Match,"-72.70852,41.766556",-72.70852,41.766556,Hartford County,Orange,Tiny,B,2
98,CVS PHARMACY #941,(203) 933-5499,PCY.0001326,"38,467","844 JONES HILL RD
CT 06516-5643
(41.259986, -72.96539)",844 JONES HILL RD,WEST HAVEN,CT,"844 JONES HILL RD, WEST HAVEN, CT",06516-5643,Match,"-72.96538,41.26",-72.96538,41.26,New Haven County,Green,Tiny,E,5
99,HARTFORD HOSPITAL,860-727-1123,PCY.0001282,"283,062","85 SEYMOUR ST
CT 06106-5501
(41.754453, -72.680755)",85 SEYMOUR ST,HARTFORD,CT,"85 SEYMOUR ST, HARTFORD, CT",06106-5501,Match,"-72.68068,41.75521",-72.68068,41.75521,Hartford County,Orange,Tiny,B,2
