Code,Subject,Value
HC01_EST_VC12,"Total; Estimate; Population 25 years and over - Some college, no degree",415150
HC01_MOE_VC12,"Total; Margin of Error; Population 25 years and over - Some college, no degree",8850
HC02_EST_VC12,"Percent; Estimate; Population 25 years and over - Some college, no degree",16.8
HC02_MOE_VC12,"Percent; Margin of Error; Population 25 years and over - Some college, no degree",0.4
HC03_EST_VC12,"Males; Estimate; Population 25 years and over - Some college, no degree",197814
HC03_MOE_VC12,"Males; Margin of Error; Population 25 years and over - Some college, no degree",6186
HC04_EST_VC12,"Percent Males; Estimate; Population 25 years and over - Some college, no degree",16.8
HC04_MOE_VC12,"Percent Males; Margin of Error; Population 25 years and over - Some college, no degree",0.5
HC05_EST_VC12,"Females; Estimate; Population 25 years and over - Some college, no degree",217336
HC05_MOE_VC12,"Females; Margin of Error; Population 25 years and over - Some college, no degree",6895
HC06_EST_VC12,"Percent Females; Estimate; Population 25 years and over - Some college, no degree",16.8
HC06_MOE_VC12,"Percent Females; Margin of Error; Population 25 years and over - Some college, no degree",0.5
HC01_EST_VC13,Total; Estimate; Population 25 years and over - Associate's degree,186288
HC01_MOE_VC13,Total; Margin of Error; Population 25 years and over - Associate's degree,6606
HC02_EST_VC13,Percent; Estimate; Population 25 years and over - Associate's degree,7.5
HC02_MOE_VC13,Percent; Margin of Error; Population 25 years and over - Associate's degree,0.3
HC03_EST_VC13,Males; Estimate; Population 25 years and over - Associate's degree,72877
HC03_MOE_VC13,Males; Margin of Error; Population 25 years and over - Associate's degree,4615
HC04_EST_VC13,Percent Males; Estimate; Population 25 years and over - Associate's degree,6.2
HC04_MOE_VC13,Percent Males; Margin of Error; Population 25 years and over - Associate's degree,0.4
HC05_EST_VC13,Females; Estimate; Population 25 years and over - Associate's degree,113411
HC05_MOE_VC13,Females; Margin of Error; Population 25 years and over - Associate's degree,4791
HC06_EST_VC13,Percent Females; Estimate; Population 25 years and over - Associate's degree,8.8
HC06_MOE_VC13,Percent Females; Margin of Error; Population 25 years and over - Associate's degree,0.4
HC01_EST_VC14,Total; Estimate; Population 25 years and over - Bachelor's degree,541369
HC01_MOE_VC14,Total; Margin of Error; Population 25 years and over - Bachelor's degree,10224
HC02_EST_VC14,Percent; Estimate; Population 25 years and over - Bachelor's degree,21.9
HC02_MOE_VC14,Percent; Margin of Error; Population 25 years and over - Bachelor's degree,0.4
HC03_EST_VC14,Males; Estimate; Population 25 years and over - Bachelor's degree,253333
HC03_MOE_VC14,Males; Margin of Error; Population 25 years and over - Bachelor's degree,6548
HC04_EST_VC14,Percent Males; Estimate; Population 25 years and over - Bachelor's degree,21.6
HC04_MOE_VC14,Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree,0.6
HC05_EST_VC14,Females; Estimate; Population 25 years and over - Bachelor's degree,288036
HC05_MOE_VC14,Females; Margin of Error; Population 25 years and over - Bachelor's degree,8085
HC06_EST_VC14,Percent Females; Estimate; Population 25 years and over - Bachelor's degree,22.3
HC06_MOE_VC14,Percent Females; Margin of Error; Population 25 years and over - Bachelor's degree,0.6
HC01_EST_VC15,Total; Estimate; Population 25 years and over - Graduate or professional degree,412219
HC01_MOE_VC15,Total; Margin of Error; Population 25 years and over - Graduate or professional degree,9507
HC02_EST_VC15,Percent; Estimate; Population 25 years and over - Graduate or professional degree,16.7
HC02_MOE_VC15,Percent; Margin of Error; Population 25 years and over - Graduate or professional degree,0.4
HC03_EST_VC15,Males; Estimate; Population 25 years and over - Graduate or professional degree,195084
HC03_MOE_VC15,Males; Margin of Error; Population 25 years and over - Graduate or professional degree,6241
HC04_EST_VC15,Percent Males; Estimate; Population 25 years and over - Graduate or professional degree,16.6
HC04_MOE_VC15,Percent Males; Margin of Error; Population 25 years and over - Graduate or professional degree,0.5
HC05_EST_VC15,Females; Estimate; Population 25 years and over - Graduate or professional degree,217135
HC05_MOE_VC15,Females; Margin of Error; Population 25 years and over - Graduate or professional degree,6109
HC06_EST_VC15,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,16.8
HC06_MOE_VC15,Percent Females; Margin of Error; Population 25 years and over - Graduate or professional degree,0.5
HC01_EST_VC17,Total; Estimate; Percent high school graduate or higher,(X)
HC01_MOE_VC17,Total; Margin of Error; Percent high school graduate or higher,(X)
HC02_EST_VC17,Percent; Estimate; Percent high school graduate or higher,90.5
HC02_MOE_VC17,Percent; Margin of Error; Percent high school graduate or higher,0.3
HC03_EST_VC17,Males; Estimate; Percent high school graduate or higher,(X)
HC03_MOE_VC17,Males; Margin of Error; Percent high school graduate or higher,(X)
HC04_EST_VC17,Percent Males; Estimate; Percent high school graduate or higher,90.2
HC04_MOE_VC17,Percent Males; Margin of Error; Percent high school graduate or higher,0.4
HC05_EST_VC17,Females; Estimate; Percent high school graduate or higher,(X)
HC05_MOE_VC17,Females; Margin of Error; Percent high school graduate or higher,(X)
HC06_EST_VC17,Percent Females; Estimate; Percent high school graduate or higher,90.8
HC06_MOE_VC17,Percent Females; Margin of Error; Percent high school graduate or higher,0.5
HC01_EST_VC18,Total; Estimate; Percent bachelor's degree or higher,(X)
HC01_MOE_VC18,Total; Margin of Error; Percent bachelor's degree or higher,(X)
HC02_EST_VC18,Percent; Estimate; Percent bachelor's degree or higher,38.6
HC02_MOE_VC18,Percent; Margin of Error; Percent bachelor's degree or higher,0.4
HC03_EST_VC18,Males; Estimate; Percent bachelor's degree or higher,(X)
HC03_MOE_VC18,Males; Margin of Error; Percent bachelor's degree or higher,(X)
HC04_EST_VC18,Percent Males; Estimate; Percent bachelor's degree or higher,38.1
HC04_MOE_VC18,Percent Males; Margin of Error; Percent bachelor's degree or higher,0.6
HC05_EST_VC18,Females; Estimate; Percent bachelor's degree or higher,(X)
HC05_MOE_VC18,Females; Margin of Error; Percent bachelor's degree or higher,(X)
HC06_EST_VC18,Percent Females; Estimate; Percent bachelor's degree or higher,39.1
HC06_MOE_VC18,Percent Females; Margin of Error; Percent bachelor's degree or higher,0.6
HC01_EST_VC20,Total; Estimate; Population 25 to 34 years,436596
HC01_MOE_VC20,Total; Margin of Error; Population 25 to 34 years,2377
HC02_EST_VC20,Percent; Estimate; Population 25 to 34 years,(X)
HC02_MOE_VC20,Percent; Margin of Error; Population 25 to 34 years,(X)
HC03_EST_VC20,Males; Estimate; Population 25 to 34 years,219757
HC03_MOE_VC20,Males; Margin of Error; Population 25 to 34 years,1563
HC04_EST_VC20,Percent Males; Estimate; Population 25 to 34 years,(X)
HC04_MOE_VC20,Percent Males; Margin of Error; Population 25 to 34 years,(X)
HC05_EST_VC20,Females; Estimate; Population 25 to 34 years,216839
HC05_MOE_VC20,Females; Margin of Error; Population 25 to 34 years,1528
HC06_EST_VC20,Percent Females; Estimate; Population 25 to 34 years,(X)
HC06_MOE_VC20,Percent Females; Margin of Error; Population 25 to 34 years,(X)
HC01_EST_VC21,Total; Estimate; Population 25 to 34 years - High school graduate or higher,407069
HC01_MOE_VC21,Total; Margin of Error; Population 25 to 34 years - High school graduate or higher,3351
HC02_EST_VC21,Percent; Estimate; Population 25 to 34 years - High school graduate or higher,93.2
HC02_MOE_VC21,Percent; Margin of Error; Population 25 to 34 years - High school graduate or higher,0.6
HC03_EST_VC21,Males; Estimate; Population 25 to 34 years - High school graduate or higher,203131
HC03_MOE_VC21,Males; Margin of Error; Population 25 to 34 years - High school graduate or higher,2382
HC04_EST_VC21,Percent Males; Estimate; Population 25 to 34 years - High school graduate or higher,92.4
HC04_MOE_VC21,Percent Males; Margin of Error; Population 25 to 34 years - High school graduate or higher,1
HC05_EST_VC21,Females; Estimate; Population 25 to 34 years - High school graduate or higher,203938
HC05_MOE_VC21,Females; Margin of Error; Population 25 to 34 years - High school graduate or higher,2403
HC06_EST_VC21,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,94.1
HC06_MOE_VC21,Percent Females; Margin of Error; Population 25 to 34 years - High school graduate or higher,0.9
HC01_EST_VC22,Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher,189635
HC01_MOE_VC22,Total; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher,4629
HC02_EST_VC22,Percent; Estimate; Population 25 to 34 years - Bachelor's degree or higher,43.4
HC02_MOE_VC22,Percent; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher,1.1
HC03_EST_VC22,Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,83335
HC03_MOE_VC22,Males; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher,3829
HC04_EST_VC22,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,37.9
HC04_MOE_VC22,Percent Males; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher,1.7
HC05_EST_VC22,Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,106300
HC05_MOE_VC22,Females; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher,3550
HC06_EST_VC22,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,49
HC06_MOE_VC22,Percent Females; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher,1.6
HC01_EST_VC24,Total; Estimate; Population 35 to 44 years,424492
HC01_MOE_VC24,Total; Margin of Error; Population 35 to 44 years,1991
HC02_EST_VC24,Percent; Estimate; Population 35 to 44 years,(X)
HC02_MOE_VC24,Percent; Margin of Error; Population 35 to 44 years,(X)
HC03_EST_VC24,Males; Estimate; Population 35 to 44 years,208760
HC03_MOE_VC24,Males; Margin of Error; Population 35 to 44 years,1386
HC04_EST_VC24,Percent Males; Estimate; Population 35 to 44 years,(X)
HC04_MOE_VC24,Percent Males; Margin of Error; Population 35 to 44 years,(X)
HC05_EST_VC24,Females; Estimate; Population 35 to 44 years,215732
HC05_MOE_VC24,Females; Margin of Error; Population 35 to 44 years,1363
HC06_EST_VC24,Percent Females; Estimate; Population 35 to 44 years,(X)
HC06_MOE_VC24,Percent Females; Margin of Error; Population 35 to 44 years,(X)
HC01_EST_VC25,Total; Estimate; Population 35 to 44 years - High school graduate or higher,388658
HC01_MOE_VC25,Total; Margin of Error; Population 35 to 44 years - High school graduate or higher,3947
HC02_EST_VC25,Percent; Estimate; Population 35 to 44 years - High school graduate or higher,91.6
HC02_MOE_VC25,Percent; Margin of Error; Population 35 to 44 years - High school graduate or higher,0.8
HC03_EST_VC25,Males; Estimate; Population 35 to 44 years - High school graduate or higher,188140
HC03_MOE_VC25,Males; Margin of Error; Population 35 to 44 years - High school graduate or higher,2601
HC04_EST_VC25,Percent Males; Estimate; Population 35 to 44 years - High school graduate or higher,90.1
HC04_MOE_VC25,Percent Males; Margin of Error; Population 35 to 44 years - High school graduate or higher,1.1
HC05_EST_VC25,Females; Estimate; Population 35 to 44 years - High school graduate or higher,200518
HC05_MOE_VC25,Females; Margin of Error; Population 35 to 44 years - High school graduate or higher,2391
HC06_EST_VC25,Percent Females; Estimate; Population 35 to 44 years - High school graduate or higher,92.9
HC06_MOE_VC25,Percent Females; Margin of Error; Population 35 to 44 years - High school graduate or higher,0.9
HC01_EST_VC26,Total; Estimate; Population 35 to 44 years - Bachelor's degree or higher,186794
HC01_MOE_VC26,Total; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher,5624
HC02_EST_VC26,Percent; Estimate; Population 35 to 44 years - Bachelor's degree or higher,44
HC02_MOE_VC26,Percent; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher,1.3
HC03_EST_VC26,Males; Estimate; Population 35 to 44 years - Bachelor's degree or higher,82881
HC03_MOE_VC26,Males; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher,3640
HC04_EST_VC26,Percent Males; Estimate; Population 35 to 44 years - Bachelor's degree or higher,39.7
HC04_MOE_VC26,Percent Males; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher,1.7
HC05_EST_VC26,Females; Estimate; Population 35 to 44 years - Bachelor's degree or higher,103913
HC05_MOE_VC26,Females; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher,3709
HC06_EST_VC26,Percent Females; Estimate; Population 35 to 44 years - Bachelor's degree or higher,48.2
HC06_MOE_VC26,Percent Females; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher,1.7
HC01_EST_VC28,Total; Estimate; Population 45 to 64 years,1030009
HC01_MOE_VC28,Total; Margin of Error; Population 45 to 64 years,2382
HC02_EST_VC28,Percent; Estimate; Population 45 to 64 years,(X)
HC02_MOE_VC28,Percent; Margin of Error; Population 45 to 64 years,(X)
HC03_EST_VC28,Males; Estimate; Population 45 to 64 years,498115
HC03_MOE_VC28,Males; Margin of Error; Population 45 to 64 years,1645
HC04_EST_VC28,Percent Males; Estimate; Population 45 to 64 years,(X)
HC04_MOE_VC28,Percent Males; Margin of Error; Population 45 to 64 years,(X)
HC05_EST_VC28,Females; Estimate; Population 45 to 64 years,531894
HC05_MOE_VC28,Females; Margin of Error; Population 45 to 64 years,1780
HC06_EST_VC28,Percent Females; Estimate; Population 45 to 64 years,(X)
HC06_MOE_VC28,Percent Females; Margin of Error; Population 45 to 64 years,(X)
HC01_EST_VC29,Total; Estimate; Population 45 to 64 years - High school graduate or higher,949096
HC01_MOE_VC29,Total; Margin of Error; Population 45 to 64 years - High school graduate or higher,4929
HC02_EST_VC29,Percent; Estimate; Population 45 to 64 years - High school graduate or higher,92.1
HC02_MOE_VC29,Percent; Margin of Error; Population 45 to 64 years - High school graduate or higher,0.5
HC03_EST_VC29,Males; Estimate; Population 45 to 64 years - High school graduate or higher,455340
HC03_MOE_VC29,Males; Margin of Error; Population 45 to 64 years - High school graduate or higher,3348
HC04_EST_VC29,Percent Males; Estimate; Population 45 to 64 years - High school graduate or higher,91.4
HC04_MOE_VC29,Percent Males; Margin of Error; Population 45 to 64 years - High school graduate or higher,0.7
HC05_EST_VC29,Females; Estimate; Population 45 to 64 years - High school graduate or higher,493756
HC05_MOE_VC29,Females; Margin of Error; Population 45 to 64 years - High school graduate or higher,3837
HC06_EST_VC29,Percent Females; Estimate; Population 45 to 64 years - High school graduate or higher,92.8
HC06_MOE_VC29,Percent Females; Margin of Error; Population 45 to 64 years - High school graduate or higher,0.6
HC01_EST_VC30,Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher,396021
HC01_MOE_VC30,Total; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher,7306
HC02_EST_VC30,Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,38.4
HC02_MOE_VC30,Percent; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher,0.7
HC03_EST_VC30,Males; Estimate; Population 45 to 64 years - Bachelor's degree or higher,187301
HC03_MOE_VC30,Males; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher,5101
HC04_EST_VC30,Percent Males; Estimate; Population 45 to 64 years - Bachelor's degree or higher,37.6
HC04_MOE_VC30,Percent Males; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher,1
HC05_EST_VC30,Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,208720
HC05_MOE_VC30,Females; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher,5307
HC06_EST_VC30,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,39.2
HC06_MOE_VC30,Percent Females; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher,1
HC01_EST_VC32,Total; Estimate; Population 65 years and over,576640
HC01_MOE_VC32,Total; Margin of Error; Population 65 years and over,1183
HC02_EST_VC32,Percent; Estimate; Population 65 years and over,(X)
HC02_MOE_VC32,Percent; Margin of Error; Population 65 years and over,(X)
HC03_EST_VC32,Males; Estimate; Population 65 years and over,248844
HC03_MOE_VC32,Males; Margin of Error; Population 65 years and over,711
HC04_EST_VC32,Percent Males; Estimate; Population 65 years and over,(X)
HC04_MOE_VC32,Percent Males; Margin of Error; Population 65 years and over,(X)
HC05_EST_VC32,Females; Estimate; Population 65 years and over,327796
HC05_MOE_VC32,Females; Margin of Error; Population 65 years and over,1016
HC06_EST_VC32,Percent Females; Estimate; Population 65 years and over,(X)
HC06_MOE_VC32,Percent Females; Margin of Error; Population 65 years and over,(X)
HC01_EST_VC33,Total; Estimate; Population 65 years and over - High school graduate or higher,488979
HC01_MOE_VC33,Total; Margin of Error; Population 65 years and over - High school graduate or higher,3899
HC02_EST_VC33,Percent; Estimate; Population 65 years and over - High school graduate or higher,84.8
HC02_MOE_VC33,Percent; Margin of Error; Population 65 years and over - High school graduate or higher,0.7
HC03_EST_VC33,Males; Estimate; Population 65 years and over - High school graduate or higher,213912
HC03_MOE_VC33,Males; Margin of Error; Population 65 years and over - High school graduate or higher,2296
HC04_EST_VC33,Percent Males; Estimate; Population 65 years and over - High school graduate or higher,86
HC04_MOE_VC33,Percent Males; Margin of Error; Population 65 years and over - High school graduate or higher,0.9
HC05_EST_VC33,Females; Estimate; Population 65 years and over - High school graduate or higher,275067
HC05_MOE_VC33,Females; Margin of Error; Population 65 years and over - High school graduate or higher,2977
HC06_EST_VC33,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,83.9
HC06_MOE_VC33,Percent Females; Margin of Error; Population 65 years and over - High school graduate or higher,0.9
HC01_EST_VC34,Total; Estimate; Population 65 years and over - Bachelor's degree or higher,181138
HC01_MOE_VC34,Total; Margin of Error; Population 65 years and over - Bachelor's degree or higher,4840
HC02_EST_VC34,Percent; Estimate; Population 65 years and over - Bachelor's degree or higher,31.4
HC02_MOE_VC34,Percent; Margin of Error; Population 65 years and over - Bachelor's degree or higher,0.8
HC03_EST_VC34,Males; Estimate; Population 65 years and over - Bachelor's degree or higher,94900
HC03_MOE_VC34,Males; Margin of Error; Population 65 years and over - Bachelor's degree or higher,3137
HC04_EST_VC34,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,38.1
HC04_MOE_VC34,Percent Males; Margin of Error; Population 65 years and over - Bachelor's degree or higher,1.3
HC05_EST_VC34,Females; Estimate; Population 65 years and over - Bachelor's degree or higher,86238
HC05_MOE_VC34,Females; Margin of Error; Population 65 years and over - Bachelor's degree or higher,3386
HC06_EST_VC34,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,26.3
HC06_MOE_VC34,Percent Females; Margin of Error; Population 65 years and over - Bachelor's degree or higher,1
HC01_EST_VC37,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,1966682
